idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1657885,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,364.525,siderca\60062567,"CA15,GDS,GH",2025-04-04 16:48:03.5438379 -03:00,1657766,2025-04-04 13:38:38.6941184 -03:00,15,1
1657927,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,936.636,siderca\60062567,"CPA,CSR,CA15,CFC,GDS,CDT,GH",2025-04-04 18:07:45.7895342 -03:00,1657885,2025-04-04 16:54:08.0688345 -03:00,11,0
1657944,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,285.221,siderca\60062567,"CA15,GDS,GH",2025-04-04 18:45:44.0487386 -03:00,1657927,2025-04-04 18:23:22.4251259 -03:00,2,0
1657976,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,602.522,siderca\60062567,"CPT,CSR,CA15,CFC,GDS,GH",2025-04-04 19:47:19.9385435 -03:00,1657944,2025-04-04 18:50:29.2698771 -03:00,7,0
1658043,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,882,siderca\60062291,"CPA,GA15,CA12,GA12,GFC,GDS",2025-04-04 21:19:42.1728190 -03:00,1657976,2025-04-04 19:57:22.4608970 -03:00,9,0
1658098,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,360.499,siderca\60062291,"CA15,CA12,GA12",2025-04-04 23:06:37.2946532 -03:00,1658043,2025-04-04 21:34:24.1728190 -03:00,11,0
1658130,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,934.015,siderca\60062291,"CPT,CPA,GSR,GA15,GA12,GFC,CDS,GDS",2025-04-05 00:21:29.7272757 -03:00,1658098,2025-04-04 23:12:37.7935215 -03:00,11,0
1658241,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,867,siderca\60062291,"CPA,GA15,GA12,CFC,GFC,GDS",2025-04-05 03:45:12.2135067 -03:00,1658130,2025-04-05 00:37:03.7429776 -03:00,22,0
1658291,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,0.266,siderca\12985,"CPT,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-05 05:02:24.7729103 -03:00,1658241,2025-04-05 03:59:39.2135067 -03:00,8,0
1658307,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,791,siderca\12985,"CPT,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-05 05:21:16.5855923 -03:00,1658291,2025-04-05 05:02:25.0385356 -03:00,3,0
